time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2023-03-21 23:30,2023-03-22 04:00,Shahed-136/131,Bryansk oblast,,,21,16,kpszsu/posts/pfbid024iAXyJnPeP1hdqUGHEHiwYjCe6KQaDDagdwNW3uum9shiy8kZYQdthvjrNDrardel
2023-03-23 21:30,2023-03-23 21:30,X-59,Black Sea,Odesa oblast,Su-35,2,2,kpszsu/posts/pfbid0USygTZdH2uCcQmH41N6mKxupQw6rVAdacJDuYXtkAKzvWVMhhKEbBJc3L2hptJg8l
2023-03-27 21:40,2023-03-27 23:50,KAB,Morozovsk,Kherson oblast,Su-35,2,0,kpszsu/posts/pfbid02Nxjn4XnkVbatmymR38DzJiCU2BKBegRrj3TiyCYB1aQj2pio6dcXiPx6yTqTJ2n4l
2023-03-27 21:40,2023-03-27 23:50,Granat-4,,,,1,1,kpszsu/posts/pfbid02Nxjn4XnkVbatmymR38DzJiCU2BKBegRrj3TiyCYB1aQj2pio6dcXiPx6yTqTJ2n4l
2023-03-27 21:40,2023-03-27 23:50,Shahed-136/131,north and south-east,,,13,12,kpszsu/posts/pfbid02Nxjn4XnkVbatmymR38DzJiCU2BKBegRrj3TiyCYB1aQj2pio6dcXiPx6yTqTJ2n4l
2023-03-30 21:10,2023-03-30 01:30,Shahed-136/131,Bryansk oblast,,,10,9,kpszsu/posts/pfbid0b6i2XPMG2vi6bg4a4SSMB8zo7eZY9YRj5R7JK3UCmNokTp4et9pUUokBrdocidP7l
2023-04-04 03:00,2023-04-04 03:00,Shahed-136/131,eastern coast of the Sea of Azov,Odesa oblast and Mykolaiv oblast,,17,14,kpszsu/posts/pfbid02eUCAGwRgPADbaszSKgio1B5pRERfSgjEHbiwnh8E8WRMvSFpqfnWqZbbSM4jg38Vl
2023-04-08 13:00,2023-04-08 13:00,Supercam,,Mykolaiv oblast,,1,1,PvKPivden/posts/pfbid0QuEX5yDh6XcWHX8UtAZywEyfyXh5VX1YBK1Q4aHg7cdBFeakdhCh9NoN6NG3H9e8l
2023-04-10,2023-04-10,Orlan-10,north,,,1,1,PvkCenter/posts/pfbid061CJbwPE4ptosYqQ79TkTMpLVyXHq7SHj963VhDA5xY5q4HteUYi8XBmSiEhh8FSl
2023-04-10,2023-04-10,Merlin-VR,north,,,1,1,PvkCenter/posts/pfbid061CJbwPE4ptosYqQ79TkTMpLVyXHq7SHj963VhDA5xY5q4HteUYi8XBmSiEhh8FSl
2023-04-18,2023-04-18 22:00,Shahed-136/131,south-east,,,8,6,kpszsu/posts/pfbid02KuVs351ShfikiPCM3iKXApKvktgSBaoFJ5AdqhQm6DfXTYG9aFgXhRohqww2N7bKl
2023-04-18,2023-04-18 22:00,Orlan-10,south-east,,,1,1,kpszsu/posts/pfbid02KuVs351ShfikiPCM3iKXApKvktgSBaoFJ5AdqhQm6DfXTYG9aFgXhRohqww2N7bKl
2023-04-19,2023-04-19 03:00,Shahed-136/131,south,Odesa oblast,,12,10,kpszsu/posts/pfbid02gJa6xa3yj9P23Hp6c6HPHtLbGFEUDP2kvfFEpez9fYsNLY3mv665JXq45nZEWeqgl
2023-04-19,2023-04-20 00:20,Shahed-136/131,south-east,,,11,10,kpszsu/posts/pfbid02K4npJgPxeb3k7gFsMS3dQKamcADiPpN6XYdcdtG3jgnjcsjS6vQbqg8RVgNW7kH9l
2023-04-21,2023-04-21 03:00,Shahed-136/131,Bryansk oblast,,,12,8,kpszsu/posts/pfbid0SZzcFXv1dd9PmsurT8WKFDcZczC1XmgG8s5WeWq1avQL9RQd2h8rE2ohEq3gMWhBl
2023-04-21 19:00,2023-04-21 23:50,Shahed-136/131,south-east,,,5,4,kpszsu/posts/pfbid02ouft79RhQtCP2SuAq6tG6mkN6TxoeHearKkujAtsys4FaWeknhFejgfcUQYajnqFl
2023-04-22,2023-04-23 10:30,Lancet,south-east,Mykolaiv oblast and Kherson oblast,,4,4,kpszsu/posts/pfbid02ouft79RhQtCP2SuAq6tG6mkN6TxoeHearKkujAtsys4FaWeknhFejgfcUQYajnqFl
2023-04-23 11:50,2023-04-23 11:50,Merlin-VR,,Mykolaiv oblast,,1,1,kpszsu/posts/pfbid02ouft79RhQtCP2SuAq6tG6mkN6TxoeHearKkujAtsys4FaWeknhFejgfcUQYajnqFl
2023-04-24,2023-04-24 18:00,Shahed-136/131,south,,,6,6,kpszsu/posts/pfbid0u2HpBvwerS8kGCA41R3eCysAwDgtQs5kxoV5WQAnvnN3ih7f95V2rQ48Xjs1wgKHl
2023-04-24,2023-04-24 17:30,Lancet,,Kherson oblast,,2,2,kpszsu/posts/pfbid0u2HpBvwerS8kGCA41R3eCysAwDgtQs5kxoV5WQAnvnN3ih7f95V2rQ48Xjs1wgKHl
